,Brand,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Garanti Süresi,Garanti Tipi,Kullanım Amacı,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,SSD Kapasitesi,Star,Çözünürlük,Çözünürlük Standartı,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi
0,LENOVO,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,20759.0,16,4,256.0,4.84,1.0,2.0,5.0,AMD Ryzen 5,6.0,Free Dos
1,ACER,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,15599.0,8,4,512.0,4.77,1.0,2.0,5.0,AMD Ryzen 5,6.0,Free Dos
2,Dell,2.0,0,15.6,GDDR6,4.0,2.0,Marka Grantili,Oyun,17950.0,16,4,512.0,4.78,1.0,2.0,11.0,Intel Core i5,6.0,Free Dos
3,ASUS,3.0,0,15.6,DDR4,0.0,2.0,Marka Grantili,Ofis - İş,12028.0,8,4,256.0,4.81,1.0,2.0,11.0,Intel Core i5,4.0,Windows
4,ASUS,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,22499.0,16,4,1024.0,5.0,1.0,2.0,4.0,AMD Ryzen 7,8.0,Free Dos
5,ASUS,3.0,0,15.6,DDR,0.0,2.0,Marka Grantili,Ofis - İş,9699.0,8,4,256.0,4.6,1.0,2.0,11.0,Intel Core i5,4.0,Free Dos
6,ASUS,3.0,0,14.0,SD,0.0,2.0,Resmi Distribütör Garantili,Oyun,9699.0,8,4,256.0,4.31,1.0,2.0,11.0,Intel Core i5,4.0,Free Dos
7,ASUS,2.0,0,15.6,GDDR6,6.0,2.0,Resmi Distribütör Garantili,Oyun,29999.0,16,8,512.0,4.65,1.0,2.0,6.0,AMD Ryzen 7,8.0,Free Dos
8,ACER,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,13298.99,8,4,256.0,4.59,1.0,2.0,5.0,AMD Ryzen 5,6.0,Free Dos
9,MSI,3.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,15499.0,8,4,512.0,4.54,1.0,2.0,11.0,Intel Core i5,6.0,Free Dos
